objectid,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,,format original,format,type,identifier,language,rights,rightsstatement
Pawpaw1,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/ES1ogTjAvxlEiZyu2eMGHMMB0AJmvHBOlu2Qh7xMwkBvMQ,Pool Day,Winston 'Butch' Edwards,Anaconda Mine,1000,1890,Trial,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1163,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins1,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/EVHQE0E17wNCp3uuZg8iS0gBfaCItZF4bQPHOF2bsygo0g,Anaconda Mine 1000 ft. level West [no. 1172],Winston 'Butch' Edwards,Anaconda Mine,1000,1890,Anaconda Mine 1000 level West Ore 75 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1172,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins2,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/EXl9o-dumj1FplXQzRe5E0gBHFE-gvQ13jzS7GUxlWIG4A,Anaconda Mine 900 ft. level West [no. 1173],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1173,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins3,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/Efr5HDmKVXVAlWha67KiiUMBiAB6fCQilTGYjXrQ7vZZJw,Anaconda Mine 900 ft. level East [no. 1174],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1174,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins4,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/ETmrDrJx105EtLRSZw9umwsBTDBgGkwEFukiJ3iGpcHMKA,Anaconda Mine 900 ft. level West [no. 1175],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level West Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1175,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins5,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/EUjqocR1vhRMjvcR6U2t130Bne2Iweow9NGG-BMrW2oSCA,Anaconda Mine 900 ft. level East [no. 1176],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level East Wealth of ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1176,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins6,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/EaeZ-UuZteZEmHI_2tdx3eMBH_WoV26OZEmUfB6_7IkSYA,Anaconda Mine 900 ft. level East [no. 1177],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1177,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins7,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/ERLgf9tKYo9KqZVABCUYrksBmklslI-p_cyKgPT4gYWGUw,Anaconda Mine 900 ft. level East [no. 1178],Winston 'Butch' Edwards,Anaconda Mine,900,1890,Anaconda Mine 900 level East Ore 80 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",Anaconda Mine; Butte; Silver Bow County; Montana; United States,46.01972222,-112.5236111,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1178,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins8,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/Eb_IJG9klYdGuZFk-0i5dPUBvoagOnk5Z_x-oOy7eCAMnA,St. Lawrence Mine 800 ft. level West [no. 1179],Winston 'Butch' Edwards,St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1179,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
watkins9,https://uncg-my.sharepoint.com/:i:/g/personal/saedwards2_uncg_edu/Ef-f2p-Eyg1KjOlTu5k9jZcBGz4VZrd2z9x2spW_Gib6WA,St. Lawrence Mine 800 ft. level West [no. 1181],Winston 'Butch' Edwards,St. Lawrence Mine,800,1890,St. Lawrence 800 level West Ore 40 ft.,"Watkins, Carleton E., 1829-1916; Anaconda Company; Butte (Mont.); Photographic prints",St. Lawrence Mine; Butte; Silver Bow County; Montana; United States,46.01944444,-112.52,Winston 'Butch' Edwards,Black and White Photograph,image/jpeg,Image;StillImage,89-1181,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
